"","id","name","tool","adoption","downloads","month","qa","info","popularity"
"23",23,"1stand15th","travis","2016-10-27 07:27:25",57,"2016-04-01 00:00:00",1,0,0
"24",24,"1stand15th","travis","2016-10-27 07:27:25",25,"2016-05-01 00:00:00",1,0,0
"25",25,"1stand15th","travis","2016-10-27 07:27:25",7,"2016-06-01 00:00:00",1,0,0
"26",26,"1stand15th","travis","2016-10-27 07:27:25",8,"2016-07-01 00:00:00",1,0,0
"27",27,"1stand15th","travis","2016-10-27 07:27:25",121,"2016-08-01 00:00:00",1,0,0
"28",28,"1stand15th","travis","2016-10-27 07:27:25",33,"2016-09-01 00:00:00",1,0,0
"29",29,"1stand15th","travis","2016-10-27 07:27:25",72,"2016-10-01 00:00:00",1,0,0
"30",30,"1stand15th","travis","2016-10-27 07:27:25",41,"2016-11-01 00:00:00",1,0,0
"31",31,"1stand15th","travis","2016-10-27 07:27:25",29,"2016-12-01 00:00:00",1,0,0
"32",32,"1stand15th","travis","2016-10-27 07:27:25",15,"2017-01-01 00:00:00",1,0,0
"33",33,"1stand15th","travis","2016-10-27 07:27:25",24,"2017-02-01 00:00:00",1,0,0
"34",34,"1stand15th","travis","2016-10-27 07:27:25",63,"2017-03-01 00:00:00",1,0,0
"35",35,"1stand15th","travis","2016-10-27 07:27:25",20,"2017-04-01 00:00:00",1,0,0
"36",36,"1stand15th","travis","2016-10-27 07:27:25",23,"2017-05-01 00:00:00",1,0,0
"37",37,"1stand15th","travis","2016-10-27 07:27:25",7,"2017-06-01 00:00:00",1,0,0
"38",38,"1stand15th","travis","2016-10-27 07:27:25",23,"2017-07-01 00:00:00",1,0,0
"39",39,"23andme","npm-version","2016-04-15 20:14:20",46,"2015-07-01 00:00:00",0,1,0
"40",40,"23andme","npm-version","2016-04-15 20:14:20",43,"2015-08-01 00:00:00",0,1,0
"41",41,"23andme","npm-version","2016-04-15 20:14:20",20,"2015-09-01 00:00:00",0,1,0
"42",42,"23andme","npm-version","2016-04-15 20:14:20",24,"2015-10-01 00:00:00",0,1,0
"43",43,"23andme","npm-version","2016-04-15 20:14:20",29,"2015-11-01 00:00:00",0,1,0
"44",44,"23andme","npm-version","2016-04-15 20:14:20",27,"2015-12-01 00:00:00",0,1,0
"45",45,"23andme","npm-version","2016-04-15 20:14:20",25,"2016-01-01 00:00:00",0,1,0
"46",46,"23andme","npm-version","2016-04-15 20:14:20",41,"2016-02-01 00:00:00",0,1,0
"47",47,"23andme","npm-version","2016-04-15 20:14:20",42,"2016-03-01 00:00:00",0,1,0
"48",48,"23andme","npm-version","2016-04-15 20:14:20",226,"2016-04-01 00:00:00",0,1,0
"49",49,"23andme","npm-version","2016-04-15 20:14:20",67,"2016-05-01 00:00:00",0,1,0
"50",50,"23andme","npm-version","2016-04-15 20:14:20",35,"2016-06-01 00:00:00",0,1,0
"51",51,"23andme","npm-version","2016-04-15 20:14:20",32,"2016-07-01 00:00:00",0,1,0
"52",52,"23andme","npm-version","2016-04-15 20:14:20",195,"2016-08-01 00:00:00",0,1,0
"53",53,"23andme","npm-version","2016-04-15 20:14:20",83,"2016-09-01 00:00:00",0,1,0
"54",54,"23andme","npm-version","2016-04-15 20:14:20",156,"2016-10-01 00:00:00",0,1,0
"55",55,"23andme","npm-version","2016-04-15 20:14:20",99,"2016-11-01 00:00:00",0,1,0
"56",56,"23andme","npm-version","2016-04-15 20:14:20",61,"2016-12-01 00:00:00",0,1,0
"57",57,"23andme","npm-version","2016-04-15 20:14:20",29,"2017-01-01 00:00:00",0,1,0
"58",58,"352-phantom","npm","2016-02-13 19:54:23",77,"2015-05-01 00:00:00",1,1,1
"59",59,"352-phantom","npm","2016-02-13 19:54:23",141,"2015-06-01 00:00:00",1,1,1
"60",60,"352-phantom","npm","2016-02-13 19:54:23",134,"2015-07-01 00:00:00",1,1,1
"61",61,"352-phantom","npm","2016-02-13 19:54:23",118,"2015-08-01 00:00:00",1,1,1
"62",62,"352-phantom","npm","2016-02-13 19:54:23",37,"2015-09-01 00:00:00",1,1,1
"63",63,"352-phantom","npm","2016-02-13 19:54:23",29,"2015-10-01 00:00:00",1,1,1
"64",64,"352-phantom","npm","2016-02-13 19:54:23",62,"2015-11-01 00:00:00",1,1,1
"65",65,"352-phantom","npm","2016-02-13 19:54:23",47,"2015-12-01 00:00:00",1,1,1
"66",66,"352-phantom","npm","2016-02-13 19:54:23",46,"2016-01-01 00:00:00",1,1,1
"67",67,"352-phantom","npm","2016-02-13 19:54:23",66,"2016-02-01 00:00:00",1,1,1
"68",68,"352-phantom","npm","2016-02-13 19:54:23",109,"2016-03-01 00:00:00",1,1,1
"69",69,"352-phantom","npm","2016-02-13 19:54:23",131,"2016-04-01 00:00:00",1,1,1
"70",70,"352-phantom","npm","2016-02-13 19:54:23",56,"2016-05-01 00:00:00",1,1,1
"71",71,"352-phantom","npm","2016-02-13 19:54:23",19,"2016-06-01 00:00:00",1,1,1
"72",72,"352-phantom","npm","2016-02-13 19:54:23",20,"2016-07-01 00:00:00",1,1,1
"73",73,"352-phantom","npm","2016-02-13 19:54:23",133,"2016-08-01 00:00:00",1,1,1
"74",74,"352-phantom","npm","2016-02-13 19:54:23",63,"2016-09-01 00:00:00",1,1,1
"75",75,"352-phantom","npm","2016-02-13 19:54:23",108,"2016-10-01 00:00:00",1,1,1
"76",76,"352-phantom","npm","2016-02-13 19:54:23",72,"2016-11-01 00:00:00",1,1,1
"77",77,"6px","other","2016-03-27 15:08:33",642,"2015-06-01 00:00:00",0,0,0
"78",78,"6px","other","2016-03-27 15:08:33",687,"2015-07-01 00:00:00",0,0,0
"79",79,"6px","other","2016-03-27 15:08:33",731,"2015-08-01 00:00:00",0,0,0
"80",80,"6px","other","2016-03-27 15:08:33",198,"2015-09-01 00:00:00",0,0,0
"81",81,"6px","other","2016-03-27 15:08:33",88,"2015-10-01 00:00:00",0,0,0
"82",82,"6px","other","2016-03-27 15:08:33",468,"2015-11-01 00:00:00",0,0,0
"83",83,"6px","other","2016-03-27 15:08:33",347,"2015-12-01 00:00:00",0,0,0
"84",84,"6px","other","2016-03-27 15:08:33",261,"2016-01-01 00:00:00",0,0,0
"85",85,"6px","other","2016-03-27 15:08:33",415,"2016-02-01 00:00:00",0,0,0
"86",86,"6px","other","2016-03-27 15:08:33",909,"2016-03-01 00:00:00",0,0,0
"87",87,"6px","other","2016-03-27 15:08:33",716,"2016-04-01 00:00:00",0,0,0
"88",88,"6px","other","2016-03-27 15:08:33",285,"2016-05-01 00:00:00",0,0,0
"89",89,"6px","other","2016-03-27 15:08:33",96,"2016-06-01 00:00:00",0,0,0
"90",90,"6px","other","2016-03-27 15:08:33",134,"2016-07-01 00:00:00",0,0,0
"91",91,"6px","other","2016-03-27 15:08:33",421,"2016-08-01 00:00:00",0,0,0
"92",92,"6px","other","2016-03-27 15:08:33",286,"2016-09-01 00:00:00",0,0,0
"93",93,"6px","other","2016-03-27 15:08:33",616,"2016-10-01 00:00:00",0,0,0
"94",94,"6px","other","2016-03-27 15:08:33",419,"2016-11-01 00:00:00",0,0,0
"95",95,"6px","other","2016-03-27 15:08:33",198,"2016-12-01 00:00:00",0,0,0
"96",96,"6to5-loader","npm-version","2016-06-17 16:17:51",515,"2015-09-01 00:00:00",1,1,0
"97",97,"6to5-loader","npm-version","2016-06-17 16:17:51",472,"2015-10-01 00:00:00",1,1,0
"98",98,"6to5-loader","npm-version","2016-06-17 16:17:51",454,"2015-11-01 00:00:00",1,1,0
"99",99,"6to5-loader","npm-version","2016-06-17 16:17:51",508,"2015-12-01 00:00:00",1,1,0
"100",100,"6to5-loader","npm-version","2016-06-17 16:17:51",582,"2016-01-01 00:00:00",1,1,0
"101",101,"6to5-loader","npm-version","2016-06-17 16:17:51",575,"2016-02-01 00:00:00",1,1,0
"102",102,"6to5-loader","npm-version","2016-06-17 16:17:51",751,"2016-03-01 00:00:00",1,1,0
"103",103,"6to5-loader","npm-version","2016-06-17 16:17:51",660,"2016-04-01 00:00:00",1,1,0
"104",104,"6to5-loader","npm-version","2016-06-17 16:17:51",442,"2016-05-01 00:00:00",1,1,0
"105",105,"6to5-loader","npm-version","2016-06-17 16:17:51",233,"2016-06-01 00:00:00",1,1,0
"106",106,"6to5-loader","npm-version","2016-06-17 16:17:51",273,"2016-07-01 00:00:00",1,1,0
"107",107,"6to5-loader","npm-version","2016-06-17 16:17:51",403,"2016-08-01 00:00:00",1,1,0
"108",108,"6to5-loader","npm-version","2016-06-17 16:17:51",310,"2016-09-01 00:00:00",1,1,0
"109",109,"6to5-loader","npm-version","2016-06-17 16:17:51",456,"2016-10-01 00:00:00",1,1,0
"110",110,"6to5-loader","npm-version","2016-06-17 16:17:51",655,"2016-11-01 00:00:00",1,1,0
"111",111,"6to5-loader","npm-version","2016-06-17 16:17:51",399,"2016-12-01 00:00:00",1,1,0
"112",112,"6to5-loader","npm-version","2016-06-17 16:17:51",346,"2017-01-01 00:00:00",1,1,0
"113",113,"6to5-loader","npm-version","2016-06-17 16:17:51",547,"2017-02-01 00:00:00",1,1,0
"114",114,"6to5-loader","npm-version","2016-06-17 16:17:51",413,"2017-03-01 00:00:00",1,1,0
"115",115,"abigail","other-github","2016-03-23 13:09:34",1722,"2015-06-01 00:00:00",1,1,0
"116",116,"abigail","other-github","2016-03-23 13:09:34",1074,"2015-07-01 00:00:00",1,1,0
"117",117,"abigail","other-github","2016-03-23 13:09:34",819,"2015-08-01 00:00:00",1,1,0
"118",118,"abigail","other-github","2016-03-23 13:09:34",456,"2015-09-01 00:00:00",1,1,0
"119",119,"abigail","other-github","2016-03-23 13:09:34",259,"2015-10-01 00:00:00",1,1,0
"120",120,"abigail","other-github","2016-03-23 13:09:34",1630,"2015-11-01 00:00:00",1,1,0
"121",121,"abigail","other-github","2016-03-23 13:09:34",392,"2015-12-01 00:00:00",1,1,0
"122",122,"abigail","other-github","2016-03-23 13:09:34",449,"2016-01-01 00:00:00",1,1,0
"123",123,"abigail","other-github","2016-03-23 13:09:34",562,"2016-02-01 00:00:00",1,1,0
"124",124,"abigail","other-github","2016-03-23 13:09:34",2971,"2016-03-01 00:00:00",1,1,0
"125",125,"abigail","other-github","2016-03-23 13:09:34",6683,"2016-04-01 00:00:00",1,1,0
"126",126,"abigail","other-github","2016-03-23 13:09:34",1666,"2016-05-01 00:00:00",1,1,0
"127",127,"abigail","other-github","2016-03-23 13:09:34",2984,"2016-06-01 00:00:00",1,1,0
"128",128,"abigail","other-github","2016-03-23 13:09:34",1577,"2016-07-01 00:00:00",1,1,0
"129",129,"abigail","other-github","2016-03-23 13:09:34",1158,"2016-08-01 00:00:00",1,1,0
"130",130,"abigail","other-github","2016-03-23 13:09:34",1533,"2016-09-01 00:00:00",1,1,0
"131",131,"abigail","other-github","2016-03-23 13:09:34",2327,"2016-10-01 00:00:00",1,1,0
"132",132,"abigail","other-github","2016-03-23 13:09:34",1816,"2016-11-01 00:00:00",1,1,0
"133",133,"abigail","other-github","2016-03-23 13:09:34",1126,"2016-12-01 00:00:00",1,1,0
"134",134,"accessibility-developer-tools","travis","2016-09-10 22:22:03",223637,"2015-12-01 00:00:00",1,1,1
"135",135,"accessibility-developer-tools","travis","2016-09-10 22:22:03",239044,"2016-01-01 00:00:00",1,1,1
"136",136,"accessibility-developer-tools","travis","2016-09-10 22:22:03",243839,"2016-02-01 00:00:00",1,1,1
"137",137,"accessibility-developer-tools","travis","2016-09-10 22:22:03",268908,"2016-03-01 00:00:00",1,1,1
"138",138,"accessibility-developer-tools","travis","2016-09-10 22:22:03",235540,"2016-04-01 00:00:00",1,1,1
"139",139,"accessibility-developer-tools","travis","2016-09-10 22:22:03",245294,"2016-05-01 00:00:00",1,1,1
"140",140,"accessibility-developer-tools","travis","2016-09-10 22:22:03",240636,"2016-06-01 00:00:00",1,1,1
"141",141,"accessibility-developer-tools","travis","2016-09-10 22:22:03",208359,"2016-07-01 00:00:00",1,1,1
"142",142,"accessibility-developer-tools","travis","2016-09-10 22:22:03",221889,"2016-08-01 00:00:00",1,1,1
"143",143,"accessibility-developer-tools","travis","2016-09-10 22:22:03",218809,"2016-09-01 00:00:00",1,1,1
"144",144,"accessibility-developer-tools","travis","2016-09-10 22:22:03",225613,"2016-10-01 00:00:00",1,1,1
"145",145,"accessibility-developer-tools","travis","2016-09-10 22:22:03",227525,"2016-11-01 00:00:00",1,1,1
"146",146,"accessibility-developer-tools","travis","2016-09-10 22:22:03",204043,"2016-12-01 00:00:00",1,1,1
"147",147,"accessibility-developer-tools","travis","2016-09-10 22:22:03",216463,"2017-01-01 00:00:00",1,1,1
"148",148,"accessibility-developer-tools","travis","2016-09-10 22:22:03",223683,"2017-02-01 00:00:00",1,1,1
"149",149,"accessibility-developer-tools","travis","2016-09-10 22:22:03",254108,"2017-03-01 00:00:00",1,1,1
"150",150,"accessibility-developer-tools","travis","2016-09-10 22:22:03",214924,"2017-04-01 00:00:00",1,1,1
"151",151,"accessibility-developer-tools","travis","2016-09-10 22:22:03",229899,"2017-05-01 00:00:00",1,1,1
"152",152,"accessibility-developer-tools","travis","2016-09-10 22:22:03",232586,"2017-06-01 00:00:00",1,1,1
"153",153,"acdc","travis","2016-07-29 08:30:36",165,"2015-10-01 00:00:00",1,0,0
"154",154,"acdc","travis","2016-07-29 08:30:36",122,"2015-11-01 00:00:00",1,0,0
"155",155,"acdc","travis","2016-07-29 08:30:36",193,"2015-12-01 00:00:00",1,0,0
"156",156,"acdc","travis","2016-07-29 08:30:36",225,"2016-01-01 00:00:00",1,0,0
"157",157,"acdc","travis","2016-07-29 08:30:36",344,"2016-02-01 00:00:00",1,0,0
"158",158,"acdc","travis","2016-07-29 08:30:36",620,"2016-03-01 00:00:00",1,0,0
"159",159,"acdc","travis","2016-07-29 08:30:36",530,"2016-04-01 00:00:00",1,0,0
"160",160,"acdc","travis","2016-07-29 08:30:36",211,"2016-05-01 00:00:00",1,0,0
"161",161,"acdc","travis","2016-07-29 08:30:36",88,"2016-06-01 00:00:00",1,0,0
"162",162,"acdc","travis","2016-07-29 08:30:36",603,"2016-07-01 00:00:00",1,0,0
"163",163,"acdc","travis","2016-07-29 08:30:36",238,"2016-08-01 00:00:00",1,0,0
"164",164,"acdc","travis","2016-07-29 08:30:36",303,"2016-09-01 00:00:00",1,0,0
"165",165,"acdc","travis","2016-07-29 08:30:36",442,"2016-10-01 00:00:00",1,0,0
"166",166,"acdc","travis","2016-07-29 08:30:36",400,"2016-11-01 00:00:00",1,0,0
"167",167,"acdc","travis","2016-07-29 08:30:36",140,"2016-12-01 00:00:00",1,0,0
"168",168,"acdc","travis","2016-07-29 08:30:36",149,"2017-01-01 00:00:00",1,0,0
"169",169,"acdc","travis","2016-07-29 08:30:36",183,"2017-02-01 00:00:00",1,0,0
"170",170,"acdc","travis","2016-07-29 08:30:36",403,"2017-03-01 00:00:00",1,0,0
"171",171,"acdc","travis","2016-07-29 08:30:36",133,"2017-04-01 00:00:00",1,0,0
"172",172,"acqua","travis","2016-03-29 15:01:45",265,"2015-06-01 00:00:00",1,1,0
"173",173,"acqua","travis","2016-03-29 15:01:45",410,"2015-07-01 00:00:00",1,1,0
"174",174,"acqua","travis","2016-03-29 15:01:45",286,"2015-08-01 00:00:00",1,1,0
"175",175,"acqua","travis","2016-03-29 15:01:45",95,"2015-09-01 00:00:00",1,1,0
"176",176,"acqua","travis","2016-03-29 15:01:45",93,"2015-10-01 00:00:00",1,1,0
"177",177,"acqua","travis","2016-03-29 15:01:45",94,"2015-11-01 00:00:00",1,1,0
"178",178,"acqua","travis","2016-03-29 15:01:45",90,"2015-12-01 00:00:00",1,1,0
"179",179,"acqua","travis","2016-03-29 15:01:45",131,"2016-01-01 00:00:00",1,1,0
"180",180,"acqua","travis","2016-03-29 15:01:45",110,"2016-02-01 00:00:00",1,1,0
"181",181,"acqua","travis","2016-03-29 15:01:45",261,"2016-03-01 00:00:00",1,1,0
"182",182,"acqua","travis","2016-03-29 15:01:45",279,"2016-04-01 00:00:00",1,1,0
"183",183,"acqua","travis","2016-03-29 15:01:45",167,"2016-05-01 00:00:00",1,1,0
"184",184,"acqua","travis","2016-03-29 15:01:45",94,"2016-06-01 00:00:00",1,1,0
"185",185,"acqua","travis","2016-03-29 15:01:45",181,"2016-07-01 00:00:00",1,1,0
"186",186,"acqua","travis","2016-03-29 15:01:45",136,"2016-08-01 00:00:00",1,1,0
"187",187,"acqua","travis","2016-03-29 15:01:45",133,"2016-09-01 00:00:00",1,1,0
"188",188,"acqua","travis","2016-03-29 15:01:45",371,"2016-10-01 00:00:00",1,1,0
"189",189,"acqua","travis","2016-03-29 15:01:45",176,"2016-11-01 00:00:00",1,1,0
"190",190,"acqua","travis","2016-03-29 15:01:45",69,"2016-12-01 00:00:00",1,1,0
"191",191,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",528,"2015-06-01 00:00:00",1,0,0
"192",192,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",582,"2015-07-01 00:00:00",1,0,0
"193",193,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",552,"2015-08-01 00:00:00",1,0,0
"194",194,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",541,"2015-09-01 00:00:00",1,0,0
"195",195,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",532,"2015-10-01 00:00:00",1,0,0
"196",196,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",687,"2015-11-01 00:00:00",1,0,0
"197",197,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",732,"2015-12-01 00:00:00",1,0,0
"198",198,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",5945,"2016-01-01 00:00:00",1,0,0
"199",199,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",4130,"2016-02-01 00:00:00",1,0,0
"200",200,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",4063,"2016-03-01 00:00:00",1,0,0
"201",201,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",7696,"2016-04-01 00:00:00",1,0,0
"202",202,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",8063,"2016-05-01 00:00:00",1,0,0
"203",203,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",8315,"2016-06-01 00:00:00",1,0,0
"204",204,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",5038,"2016-07-01 00:00:00",1,0,0
"205",205,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",2260,"2016-08-01 00:00:00",1,0,0
"206",206,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",1244,"2016-09-01 00:00:00",1,0,0
"207",207,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",1170,"2016-10-01 00:00:00",1,0,0
"208",208,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",1556,"2016-11-01 00:00:00",1,0,0
"209",209,"add-cors-to-couchdb","travis","2016-03-20 18:55:21",1016,"2016-12-01 00:00:00",1,0,0
"210",210,"adm","npm-version","2016-03-05 13:43:48",31,"2015-06-01 00:00:00",1,1,0
"211",211,"adm","npm-version","2016-03-05 13:43:48",41,"2015-07-01 00:00:00",1,1,0
"212",212,"adm","npm-version","2016-03-05 13:43:48",39,"2015-08-01 00:00:00",1,1,0
"213",213,"adm","npm-version","2016-03-05 13:43:48",10,"2015-09-01 00:00:00",1,1,0
"214",214,"adm","npm-version","2016-03-05 13:43:48",11,"2015-10-01 00:00:00",1,1,0
"215",215,"adm","npm-version","2016-03-05 13:43:48",30,"2015-11-01 00:00:00",1,1,0
"216",216,"adm","npm-version","2016-03-05 13:43:48",19,"2015-12-01 00:00:00",1,1,0
"217",217,"adm","npm-version","2016-03-05 13:43:48",29,"2016-01-01 00:00:00",1,1,0
"218",218,"adm","npm-version","2016-03-05 13:43:48",27,"2016-02-01 00:00:00",1,1,0
"219",219,"adm","npm-version","2016-03-05 13:43:48",94,"2016-03-01 00:00:00",1,1,0
"220",220,"adm","npm-version","2016-03-05 13:43:48",275,"2016-04-01 00:00:00",1,1,0
"221",221,"adm","npm-version","2016-03-05 13:43:48",83,"2016-05-01 00:00:00",1,1,0
"222",222,"adm","npm-version","2016-03-05 13:43:48",38,"2016-06-01 00:00:00",1,1,0
"223",223,"adm","npm-version","2016-03-05 13:43:48",45,"2016-07-01 00:00:00",1,1,0
"224",224,"adm","npm-version","2016-03-05 13:43:48",106,"2016-08-01 00:00:00",1,1,0
"225",225,"adm","npm-version","2016-03-05 13:43:48",73,"2016-09-01 00:00:00",1,1,0
"226",226,"adm","npm-version","2016-03-05 13:43:48",107,"2016-10-01 00:00:00",1,1,0
"227",227,"adm","npm-version","2016-03-05 13:43:48",111,"2016-11-01 00:00:00",1,1,0
"228",228,"adm","npm-version","2016-03-05 13:43:48",31,"2016-12-01 00:00:00",1,1,0
"229",229,"adobe-analytics-di","other-github","2016-02-10 12:21:51",174,"2015-05-01 00:00:00",0,0,0
"230",230,"adobe-analytics-di","other-github","2016-02-10 12:21:51",204,"2015-06-01 00:00:00",0,0,0
"231",231,"adobe-analytics-di","other-github","2016-02-10 12:21:51",230,"2015-07-01 00:00:00",0,0,0
"232",232,"adobe-analytics-di","other-github","2016-02-10 12:21:51",195,"2015-08-01 00:00:00",0,0,0
"233",233,"adobe-analytics-di","other-github","2016-02-10 12:21:51",56,"2015-09-01 00:00:00",0,0,0
"234",234,"adobe-analytics-di","other-github","2016-02-10 12:21:51",42,"2015-10-01 00:00:00",0,0,0
"235",235,"adobe-analytics-di","other-github","2016-02-10 12:21:51",51,"2015-11-01 00:00:00",0,0,0
"236",236,"adobe-analytics-di","other-github","2016-02-10 12:21:51",43,"2015-12-01 00:00:00",0,0,0
"237",237,"adobe-analytics-di","other-github","2016-02-10 12:21:51",70,"2016-01-01 00:00:00",0,0,0
"238",238,"adobe-analytics-di","other-github","2016-02-10 12:21:51",88,"2016-02-01 00:00:00",0,0,0
"239",239,"adobe-analytics-di","other-github","2016-02-10 12:21:51",180,"2016-03-01 00:00:00",0,0,0
"240",240,"adobe-analytics-di","other-github","2016-02-10 12:21:51",168,"2016-04-01 00:00:00",0,0,0
"241",241,"adobe-analytics-di","other-github","2016-02-10 12:21:51",98,"2016-05-01 00:00:00",0,0,0
"242",242,"adobe-analytics-di","other-github","2016-02-10 12:21:51",31,"2016-06-01 00:00:00",0,0,0
"243",243,"adobe-analytics-di","other-github","2016-02-10 12:21:51",34,"2016-07-01 00:00:00",0,0,0
"244",244,"adobe-analytics-di","other-github","2016-02-10 12:21:51",101,"2016-08-01 00:00:00",0,0,0
"245",245,"adobe-analytics-di","other-github","2016-02-10 12:21:51",72,"2016-09-01 00:00:00",0,0,0
"246",246,"adobe-analytics-di","other-github","2016-02-10 12:21:51",128,"2016-10-01 00:00:00",0,0,0
"247",247,"adobe-analytics-di","other-github","2016-02-10 12:21:51",114,"2016-11-01 00:00:00",0,0,0
"248",248,"adonis-commands","gitter","2016-06-26 10:26:03",186,"2015-09-01 00:00:00",1,1,1
"249",249,"adonis-commands","gitter","2016-06-26 10:26:03",79,"2015-10-01 00:00:00",1,1,1
"250",250,"adonis-commands","gitter","2016-06-26 10:26:03",158,"2015-11-01 00:00:00",1,1,1
"251",251,"adonis-commands","gitter","2016-06-26 10:26:03",206,"2015-12-01 00:00:00",1,1,1
"252",252,"adonis-commands","gitter","2016-06-26 10:26:03",548,"2016-01-01 00:00:00",1,1,1
"253",253,"adonis-commands","gitter","2016-06-26 10:26:03",347,"2016-02-01 00:00:00",1,1,1
"254",254,"adonis-commands","gitter","2016-06-26 10:26:03",670,"2016-03-01 00:00:00",1,1,1
"255",255,"adonis-commands","gitter","2016-06-26 10:26:03",605,"2016-04-01 00:00:00",1,1,1
"256",256,"adonis-commands","gitter","2016-06-26 10:26:03",407,"2016-05-01 00:00:00",1,1,1
"257",257,"adonis-commands","gitter","2016-06-26 10:26:03",632,"2016-06-01 00:00:00",1,1,1
"258",258,"adonis-commands","gitter","2016-06-26 10:26:03",973,"2016-07-01 00:00:00",1,1,1
"259",259,"adonis-commands","gitter","2016-06-26 10:26:03",1762,"2016-08-01 00:00:00",1,1,1
"260",260,"adonis-commands","gitter","2016-06-26 10:26:03",2623,"2016-09-01 00:00:00",1,1,1
"261",261,"adonis-commands","gitter","2016-06-26 10:26:03",2684,"2016-10-01 00:00:00",1,1,1
"262",262,"adonis-commands","gitter","2016-06-26 10:26:03",2725,"2016-11-01 00:00:00",1,1,1
"263",263,"adonis-commands","gitter","2016-06-26 10:26:03",2138,"2016-12-01 00:00:00",1,1,1
"264",264,"adonis-commands","gitter","2016-06-26 10:26:03",2594,"2017-01-01 00:00:00",1,1,1
"265",265,"adonis-commands","gitter","2016-06-26 10:26:03",2270,"2017-02-01 00:00:00",1,1,1
"266",266,"adonis-commands","gitter","2016-06-26 10:26:03",2438,"2017-03-01 00:00:00",1,1,1
"267",267,"advlib","other-github","2016-10-29 20:08:13",277,"2016-01-01 00:00:00",0,0,0
"268",268,"advlib","other-github","2016-10-29 20:08:13",278,"2016-02-01 00:00:00",0,0,0
"269",269,"advlib","other-github","2016-10-29 20:08:13",486,"2016-03-01 00:00:00",0,0,0
"270",270,"advlib","other-github","2016-10-29 20:08:13",503,"2016-04-01 00:00:00",0,0,0
"271",271,"advlib","other-github","2016-10-29 20:08:13",317,"2016-05-01 00:00:00",0,0,0
"272",272,"advlib","other-github","2016-10-29 20:08:13",267,"2016-06-01 00:00:00",0,0,0
"273",273,"advlib","other-github","2016-10-29 20:08:13",121,"2016-07-01 00:00:00",0,0,0
"274",274,"advlib","other-github","2016-10-29 20:08:13",378,"2016-08-01 00:00:00",0,0,0
